record_id,source_index,ground_truth
1,34,Neutral
2,686,Negative
3,663,Negative
4,547,Positive
5,411,Neutral
6,306,Negative
7,504,Positive
8,775,Negative
9,844,Positive
10,708,Negative
11,133,Negative
12,493,Positive
13,798,Negative
14,594,Negative
15,222,Negative
16,412,Negative
17,734,Positive
18,527,Positive
19,252,Neutral
20,7,Positive
21,297,Negative
22,42,Neutral
23,35,Positive
24,389,Positive
25,920,Negative
26,945,Positive
27,414,Neutral
28,964,Neutral
29,209,Neutral
30,855,Negative
31,105,Positive
32,207,Neutral
33,473,Neutral
34,284,Negative
35,739,Neutral
36,59,Negative
37,544,Negative
38,654,Positive
39,80,Neutral
40,872,Neutral
41,956,Positive
42,475,Negative
43,100,Negative
44,524,Negative
45,13,Negative
46,783,Negative
47,81,Neutral
48,264,Neutral
49,373,Negative
50,664,Neutral
51,366,Negative
52,523,Positive
53,360,Positive
54,367,Negative
55,443,Positive
56,263,Negative
57,175,Neutral
58,489,Negative
59,743,Negative
60,9,Negative
61,501,Negative
62,983,Positive
63,733,Negative
64,883,Negative
65,773,Negative
66,345,Negative
67,965,Positive
68,688,Negative
69,918,Positive
70,182,Negative
71,934,Positive
72,581,Neutral
73,173,Negative
74,377,Negative
75,317,Positive
76,452,Neutral
77,657,Neutral
78,400,Positive
79,484,Neutral
80,828,Positive
81,166,Negative
82,290,Negative
83,967,Neutral
84,198,Positive
85,436,Positive
86,648,Negative
87,388,Neutral
88,762,Positive
89,622,Negative
90,935,Negative
91,14,Neutral
92,85,Positive
93,390,Negative
94,676,Negative
95,503,Neutral
96,778,Positive
97,646,Positive
98,331,Positive
99,53,Negative
100,2,Negative
101,817,Neutral
102,403,Negative
103,683,Negative
104,556,Negative
105,248,Neutral
106,565,Negative
107,988,Negative
108,894,Negative
109,525,Positive
110,704,Positive
111,183,Negative
112,200,Negative
113,498,Positive
114,146,Positive
115,870,Positive
116,432,Negative
117,896,Negative
118,779,Positive
119,159,Negative
120,677,Negative
121,748,Neutral
122,492,Negative
123,926,Negative
124,814,Positive
125,747,Negative
126,924,Neutral
127,417,Negative
128,3,Neutral
129,447,Neutral
130,847,Neutral
131,586,Positive
132,191,Negative
133,756,Neutral
134,579,Neutral
135,645,Negative
136,480,Neutral
137,189,Positive
138,818,Positive
139,839,Neutral
140,630,Positive
141,11,Negative
142,644,Neutral
143,522,Positive
144,117,Neutral
145,194,Neutral
146,805,Positive
147,607,Negative
148,141,Negative
149,369,Neutral
150,825,Negative
151,258,Negative
152,542,Positive
153,936,Negative
154,396,Negative
155,221,Negative
156,21,Negative
157,425,Negative
158,873,Negative
159,321,Positive
160,449,Negative
161,772,Positive
162,265,Positive
163,659,Positive
164,139,Neutral
165,46,Negative
166,562,Negative
167,790,Positive
168,242,Neutral
169,691,Negative
170,174,Negative
171,682,Negative
172,26,Negative
173,155,Negative
174,574,Negative
175,362,Neutral
176,827,Positive
177,650,Negative
178,393,Negative
179,485,Negative
180,966,Negative
181,437,Positive
182,615,Neutral
183,433,Negative
184,845,Neutral
185,95,Negative
186,694,Neutral
187,715,Positive
188,937,Neutral
189,915,Positive
190,113,Neutral
191,797,Negative
192,606,Neutral
193,371,Positive
194,125,Negative
195,372,Positive
196,148,Positive
197,229,Positive
198,901,Positive
199,614,Positive
200,986,Positive
201,796,Neutral
202,260,Neutral
203,981,Positive
204,150,Neutral
205,628,Positive
206,972,Negative
207,278,Negative
208,477,Negative
209,852,Positive
210,823,Neutral
211,954,Neutral
212,969,Negative
213,623,Negative
214,410,Negative
215,782,Positive
216,892,Negative
217,18,Positive
218,126,Positive
219,925,Positive
220,709,Positive
221,387,Negative
222,587,Neutral
223,479,Neutral
224,789,Neutral
225,514,Neutral
226,398,Positive
227,381,Neutral
228,333,Positive
229,161,Negative
230,573,Neutral
231,310,Negative
232,801,Neutral
233,521,Neutral
234,781,Negative
235,274,Negative
236,61,Positive
237,754,Neutral
238,102,Positive
239,706,Positive
240,557,Positive
241,824,Positive
242,726,Negative
243,107,Negative
244,800,Positive
245,971,Neutral
246,370,Negative
247,836,Negative
248,730,Negative
249,470,Negative
250,211,Positive
251,277,Negative
252,307,Neutral
253,671,Neutral
254,520,Positive
255,979,Negative
256,463,Positive
257,441,Negative
258,725,Negative
259,985,Positive
260,67,Negative
261,431,Neutral
262,962,Negative
263,889,Negative
264,43,Negative
265,510,Negative
266,238,Negative
267,903,Positive
268,58,Positive
269,679,Negative
270,467,Negative
271,551,Negative
272,738,Neutral
273,755,Negative
274,273,Positive
275,122,Neutral
276,419,Negative
277,204,Positive
278,91,Neutral
279,826,Neutral
280,128,Positive
281,65,Negative
282,237,Neutral
283,785,Positive
284,335,Negative
285,546,Negative
286,876,Positive
287,638,Positive
288,440,Neutral
289,455,Negative
290,116,Negative
291,488,Negative
292,603,Negative
293,632,Negative
294,353,Positive
295,697,Neutral
296,315,Positive
297,882,Negative
298,261,Positive
299,165,Neutral
300,409,Neutral
301,919,Positive
302,86,Neutral
303,584,Positive
304,422,Negative
305,346,Neutral
306,626,Neutral
307,51,Negative
308,768,Negative
309,259,Negative
310,742,Negative
311,886,Negative
312,899,Neutral
313,912,Negative
314,957,Positive
315,507,Negative
316,917,Neutral
317,408,Negative
318,227,Positive
319,757,Positive
320,881,Neutral
321,434,Neutral
322,684,Negative
323,357,Positive
324,286,Neutral
325,15,Positive
326,186,Positive
327,456,Negative
328,201,Negative
329,939,Neutral
330,98,Neutral
331,528,Negative
332,281,Neutral
333,63,Neutral
334,567,Positive
335,635,Neutral
336,245,Negative
337,496,Negative
338,23,Negative
339,837,Negative
340,311,Negative
341,249,Neutral
342,860,Negative
343,718,Neutral
344,101,Negative
345,428,Positive
346,299,Negative
347,774,Positive
348,561,Neutral
349,185,Neutral
350,989,Negative
351,48,Positive
352,108,Negative
353,224,Positive
354,856,Neutral
355,247,Positive
356,541,Negative
357,325,Neutral
358,996,Positive
359,531,Positive
360,534,Neutral
361,344,Negative
362,914,Negative
363,530,Neutral
364,404,Neutral
365,4,Neutral
366,658,Positive
367,351,Neutral
368,352,Neutral
369,118,Negative
370,402,Negative
371,469,Positive
372,349,Negative
373,559,Positive
374,124,Negative
375,953,Positive
376,907,Neutral
377,687,Positive
378,88,Negative
379,361,Negative
380,448,Positive
381,17,Neutral
382,610,Negative
383,5,Neutral
384,217,Negative
385,495,Negative
386,869,Positive
387,906,Negative
388,269,Negative
389,301,Positive
390,929,Positive
391,144,Neutral
392,732,Negative
393,338,Positive
394,895,Negative
395,909,Negative
396,720,Negative
397,807,Negative
398,959,Negative
399,618,Positive
400,887,Negative
